category,expected_failure_if_direct,expected_status,gold_obligations,gold_source,notes,oracle_minimal_harness,query,required_capabilities,risk_level,success_checker,tags,task_id,review_decision,reviewer_notes,revised_gold_obligations,revised_oracle_minimal_harness,revised_expected_status
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Rewrite this sentence to sound more professional: ""We got the thing done pretty fast."" Generated negative case 20.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-020,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Write a short thank-you note to a mentor after a useful meeting. Generated negative case 21.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-021,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Write a friendly reminder message asking a teammate to upload their slides. Generated negative case 22.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-022,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Paraphrase this sentence in plain English: ""The proposal requires further institutional alignment."" Generated negative case 23.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-023,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Suggest three section headings for a personal learning reflection. Generated negative case 24.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-024,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Give a two-sentence explanation of why clear variable names help code readability. Generated negative case 25.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-025,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Explain the phrase ""less is more"" using a simple everyday example. Generated negative case 26.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-026,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Rewrite this sentence to sound more professional: ""We got the thing done pretty fast."" Generated negative case 27.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-027,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Explain the phrase ""less is more"" using a simple everyday example. Generated negative case 28.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-028,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Write a short thank-you note to a mentor after a useful meeting. Generated negative case 29.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-029,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Give a two-sentence explanation of why clear variable names help code readability. Generated negative case 30.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-030,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Give a two-sentence explanation of why clear variable names help code readability. Generated negative case 31.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-031,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Draft a polite Slack reply saying I will review the document this afternoon. Generated negative case 32.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-032,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Brainstorm three names for a small productivity app, no browsing or tools needed. Generated negative case 33.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-033,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Explain the phrase ""less is more"" using a simple everyday example. Generated negative case 34.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-034,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Make this sentence shorter without changing its meaning: ""The reason we delayed the meeting was because many people were unavailable."" Generated negative case 35.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-035,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Brainstorm three names for a small productivity app, no browsing or tools needed. Generated negative case 36.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-036,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Brainstorm three names for a small productivity app, no browsing or tools needed. Generated negative case 37.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-037,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Explain the phrase ""less is more"" using a simple everyday example. Generated negative case 38.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-038,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Create a one-sentence mission statement for a student coding club. Generated negative case 39.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-039,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],List three possible titles for a blog post about learning from small failures. Generated negative case 40.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-040,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Write a concise birthday wish for a teammate in a warm but not overly emotional tone. Generated negative case 41.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-041,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Brainstorm three names for a small productivity app, no browsing or tools needed. Generated negative case 42.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-042,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Paraphrase this sentence in plain English: ""The proposal requires further institutional alignment."" Generated negative case 43.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-043,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Make this sentence shorter without changing its meaning: ""The reason we delayed the meeting was because many people were unavailable."" Generated negative case 44.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-044,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Make this sentence shorter without changing its meaning: ""The reason we delayed the meeting was because many people were unavailable."" Generated negative case 45.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-045,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Make this sentence shorter without changing its meaning: ""The reason we delayed the meeting was because many people were unavailable."" Generated negative case 46.",[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-046,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Write a concise birthday wish for a teammate in a warm but not overly emotional tone. Generated negative case 47.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-047,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Turn this idea into a crisp one-line tagline: a notebook that helps students reflect daily. Generated negative case 48.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-048,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Give a two-sentence explanation of why clear variable names help code readability. Generated negative case 49.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-049,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
pure_language_negative,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Write a friendly reminder message asking a teammate to upload their slides. Generated negative case 50.,[],low,gold_obligation_capability_coverage,"[""negative"", ""direct_ok"", ""generated""]",pure-050,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Tool bait: without searching, running code, or reading files, brainstorm three product names for case 1.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok""]",bait-001,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Tool bait: without searching, running code, or reading files, brainstorm three product names for case 2.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok""]",bait-002,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Tool bait: without searching, running code, or reading files, brainstorm three product names for case 3.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok""]",bait-003,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Tool bait: without searching, running code, or reading files, brainstorm three product names for case 4.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok""]",bait-004,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Tool bait: without searching, running code, or reading files, brainstorm three product names for case 5.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok""]",bait-005,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Tool bait: without searching, running code, or reading files, brainstorm three product names for case 6.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok""]",bait-006,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Tool bait: without searching, running code, or reading files, brainstorm three product names for case 7.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok""]",bait-007,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Tool bait: without searching, running code, or reading files, brainstorm three product names for case 8.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok""]",bait-008,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Do not calculate with a tool; just describe why exact arithmetic should be verified when accuracy matters. Tool-bait generated case 9.,[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok"", ""generated""]",bait-009,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],No tools are allowed: produce a concise checklist for preparing before a presentation. Tool-bait generated case 10.,[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok"", ""generated""]",bait-010,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],No tools are allowed: produce a concise checklist for preparing before a presentation. Tool-bait generated case 11.,[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok"", ""generated""]",bait-011,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Even though the word API appears here, do not call an API; explain API in one sentence. Tool-bait generated case 12.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok"", ""generated""]",bait-012,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Without searching or using any tool, brainstorm three product names for a note-taking app. Tool-bait generated case 13.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok"", ""generated""]",bait-013,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Without searching or using any tool, brainstorm three product names for a note-taking app. Tool-bait generated case 14.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok"", ""generated""]",bait-014,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],No browsing needed: write a short fictional changelog entry for a pretend app. Tool-bait generated case 15.,[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok"", ""generated""]",bait-015,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],Do not calculate with a tool; just describe why exact arithmetic should be verified when accuracy matters. Tool-bait generated case 16.,[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok"", ""generated""]",bait-016,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Without searching or using any tool, brainstorm three product names for a note-taking app. Tool-bait generated case 17.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok"", ""generated""]",bait-017,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Without reading files, give three generic ways to make a README easier to scan. Tool-bait generated case 18.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok"", ""generated""]",bait-018,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
tool_bait,none,supported,[],human_audited_confirmed_2026_06_22_gapbench_expansion,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,[],"Without searching or using any tool, brainstorm three product names for a note-taking app. Tool-bait generated case 19.",[],low,gold_obligation_capability_coverage,"[""tool_bait"", ""direct_ok"", ""generated""]",bait-019,accept,Human-audited by project owner on 2026-06-22; expansion labels confirmed as gold truth.,,,
